pst,gmv,cancelled,cancel_pct
aluminium_foil,13931.55,918.58,6.593523333728121
bag,124536.89,3717.3399999999997,2.984930810461061
biscuit_cookie_jar,26811.3,1133.86,4.229037756468355
bread_box,7174.47,191.24,2.6655627523705583
cabinet_drawer_organization,115250.26999999999,3269.17,2.8365833763339556
cereal_dispenser,5527.69,393.38,7.116535116839041
cling_film,7012.459999999999,171.2,2.4413686495181435
closet_clothes_hanger,291545.62,7835.37,2.6875279415962416
closet_organization_systems,49569.020000000004,1062.2,2.1428706881838693
closet_shelf_divider,10372.92,328.73,3.1691172784519694
clothes_rack,149692.23,5418.07,3.6194731015764807
cooler,6105.56,83.0,1.3594166628450133
countertop_wall_organization,8177.969999999999,68.0,0.8315021943098349
cube_shelf,5395.08,390.02,7.229179178065942
dinnerware_stemware_storage,6635.719999999999,471.01,7.09809937730947
egg_holder,3336.3600000000006,216.78,6.4975002697550615
flatware_utensil_storage,7441.64,217.5,2.922742836256524
foldable_wardrobe,63347.99999999999,2065.17,3.2600397802614136
food_containers,381071.3300000001,11396.470000000001,2.990639573961127
food_saver,17509.170000000002,44.21,0.25249626338655684
food_wrap_dispenser,5225.110000000001,216.95,4.152065698138411
garage_storage,17298.26,1386.1599999999999,8.013291510244382
hanging_closet_organizer,52301.28999999999,2030.4299999999998,3.882179579127016
kitchen_storage_accessories,10333.22,588.0699999999999,5.69106241810394
lunch_bag,124226.04000000001,3982.88,3.2061554888169983
lunch_box,469962.52,10700.99,2.2769879606569474
other_storage,23500.11,657.2,2.796582654293959
outdoor_storage,5337.34,0.0,0.0
paper_towel_holder,8405.99,102.17,1.2154427973385644
racks,469103.26,12520.67,2.66906480249146
sink_sets,7081.43,78.21,1.1044379454432225
space_saver_bag,310742.65,8265.189999999999,2.659818341640582
spice_jars,67547.88,2155.5199999999995,3.191099409781624
storage_basket,63603.41,1036.3600000000001,1.6294094923526898
storage_bottles,41411.08,1697.79,4.0998447758426
storage_box,480705.36,14250.04,2.9644021443821638
storage_set,59478.87999999999,2117.27,3.5597005189068796
travel_containers,5587.67,145.38,2.6018000347193015
under_bed_storage,15917.599999999999,309.58,1.9448911896265768
