pst,ctr,atcr,cvr,asp,instock,asp_jul,instock_jul,asp_chg_pct,instock_chg_pp
aluminium_foil,3.5469086147226636,49.050632911392405,19.831223628691983,15.56819248826291,97.68606870229007,13.336354401805869,95.08173007377405,16.73499383125894,2.604338628516018
bag,5.346497098895904,24.10806086777709,9.176434299814929,29.225012696800405,96.65320025348542,25.46866150146941,89.6269746448958,14.748914838395704,7.026225608589627
biscuit_cookie_jar,4.045397876273591,21.849096705632306,6.323060573857599,42.966369863013696,94.81015779092702,39.640660377358486,86.58324895125126,8.389641983751492,8.226908839675758
bread_box,6.464561990382606,13.344113842173352,4.204398447606727,46.399104477611935,93.62437185929649,48.21041666666667,91.72105165019579,-3.757097146822831,1.9033202091006984
cabinet_drawer_organization,3.655501574833243,19.814268142681428,5.65190651906519,53.23674418604651,95.38973384030417,52.556450749464666,88.4934830621831,1.2944052097901055,6.896250778121072
cling_film,3.7779287439613527,40.16983016983017,16.783216783216783,19.155263157894737,97.06156716417911,20.82768691588785,87.86600496277916,-8.029810342104518,9.195562201399952
closet_clothes_hanger,3.2183285261453705,31.902313624678662,13.624678663239074,34.22952956636005,95.88043478260869,31.920341194179628,89.93542543244507,7.234222084698396,5.945009350163616
closet_organization_systems,3.023449642961728,20.77186708389212,8.061391744896438,37.434329896907215,98.55729166666667,39.1376171564734,93.90528483184626,-4.3520464027137535,4.652006834820412
closet_shelf_divider,7.175097640262869,10.00651890482399,2.5423728813559325,51.96032967032966,94.64285714285714,45.73972789115646,92.71292643304712,13.599997345799519,1.929930709810023
clothes_rack,5.0221160675355865,16.188162061810633,4.7177023042481165,74.30392971246006,96.90737355271176,69.32603205128206,93.60264378021111,7.18041623599017,3.30472977250065
countertop_wall_organization,4.587469265094254,17.04714640198511,3.8213399503722085,43.36012345679013,95.74786324786325,48.565925925925924,89.90746346103953,-10.719042970735963,5.840399786823724
dinnerware_stemware_storage,6.237181365367712,17.257780387551378,3.875513799177922,34.796018518518515,97.97619047619047,36.006036585365855,85.01429154757044,-3.3605977819261974,12.96189892862003
egg_holder,2.581889828421312,23.370429252782195,7.3131955484896665,30.461632653061226,97.07142857142857,30.431294117647056,87.34843285289408,0.09969518646457116,9.722995718534492
flatware_utensil_storage,6.220116491350082,16.41509433962264,5.2410901467505235,44.362151898734176,96.71501706484642,45.370215053763445,91.72368849788205,-2.2218610906620575,4.99132856696437
foldable_wardrobe,5.887636393328491,9.406569343065692,2.5766423357664237,94.84309895833333,94.30529300567107,95.29718562874251,80.78434583265106,-0.4764953628097763,13.52094717302002
food_containers,3.4261182346188552,21.93055042482453,6.861839674916882,37.77661466458658,95.32697978096041,37.14939652939653,88.96324658895817,1.6883669555539809,6.363733192002243
food_saver,4.847722231701075,21.852177738671358,9.414870215574132,33.06706349206349,97.42254273504274,32.777184210526315,88.73363142765889,0.884393484428967,8.688911307383847
garage_storage,4.6666096524986465,14.99083689676237,5.070250458155162,66.53853448275862,97.23471223021582,69.60700787401575,90.88150750558927,-4.4082822764208895,6.353204724626551
hanging_closet_organizer,4.724385743838085,12.86208466090123,4.205735093309058,48.12988614800759,95.21390374331551,47.261932584269665,90.62856550150399,1.8364749731516714,4.585338241811527
kitchen_storage_accessories,5.594132982481788,19.7691637630662,5.7926829268292686,36.388301886792455,96.79611650485437,33.776234567901234,94.48924731182797,7.733447355240604,2.306869193026401
lunch_bag,3.499017138283347,18.877254951431816,5.659980656826879,31.82581196581197,93.57192737430168,31.043209809264305,85.82216253199199,2.5210091396995633,7.749764842309688
lunch_box,3.586335494960719,16.1607966358705,3.1171348621988773,48.6223059566787,94.36602997045168,51.72925609234716,85.57172980171649,-6.006175944463464,8.794300168735191
other_storage,5.812881524853619,29.494213459065584,11.35876553793399,31.148851174934727,98.02631578947368,32.349621848739496,96.55515730784549,-3.711853818320775,1.4711584816281942
racks,7.733625661361304,9.383307190621647,2.3875175431354743,71.70628488931665,96.28338800374883,73.3714181678804,91.36706421713563,-2.2694576718604282,4.916323786613191
sink_sets,4.166389572388109,25.818036711891462,8.300079808459698,34.760288461538465,95.23809523809523,39.34368421052631,90.88806066058346,-11.649635363232125,4.350034577511764
space_saver_bag,4.3871119765502815,19.257783680094438,7.312970340858787,53.6110370634355,95.62585266030014,48.76963903082249,84.97148749026788,9.927073746748947,10.654365170032264
spice_jars,4.861700155047323,17.47382942465309,5.380183396900105,44.33419786096256,96.75472358292512,41.62787713841368,92.26473284987914,6.501222038179607,4.489990733045985
storage_basket,14.344652963955912,4.187779046827951,1.334233205274634,52.12295532646048,95.00324464633356,51.046646464646464,89.13397268235977,2.108481039120632,5.869271963973787
storage_bottles,6.781068364240244,13.303721488595437,4.8979591836734695,33.85416981132075,96.64164742109314,35.36622377622378,91.2353595498266,-4.275418191295724,5.406287871266542
storage_box,6.692987467273855,10.35061638502068,3.664937350201754,48.9384004305705,94.53005881071662,47.69261697065821,87.18406418266166,2.6121096703054394,7.345994628054967
storage_set,3.344375079627978,26.194104308390028,8.199546485260772,31.806147227533465,96.0947401774398,30.931603838245373,90.73236550810824,2.8273457589249333,5.362374669331558
under_bed_storage,6.2936311889163346,16.851535836177476,7.423208191126279,42.975174129353235,94.90207373271889,48.070221402214024,85.90831918505943,-10.599175797900779,8.993754547659464
