price_band,gmv_aug,gmv_h1,share_aug,share_h1,growth_vs_h1_pct,abs_chg_vs_h1,gv_growth_vs_h1_pct,cvr_aug,cvr_h1,cvr_chg_pp,asp_aug,instock_aug,n_skus_aug,selling_pct_aug,contribution_pct
<25 AED,288321.333,209216.55333333332,9.899223772258518,11.61790033929794,37.81000040691491,79104.77966666667,11.342727109947164,9.187942863569901,7.0219340692658285,2.166008794304074,14.82204239109201,96.42201383425387,4092.0,30.93841642228739,7.115319797040373
25-50 AED,849187.919,568160.9833333334,29.156015433930932,31.55026490914144,49.46255443622945,281026.9356666666,31.73802928169234,5.496414289224995,5.25486586754307,0.24154842168192525,37.67838560107908,96.92837375165723,10730.0,23.140726933830383,25.277821735634237
50-100 AED,1182679.0919999997,653665.2916666667,40.606100355673355,36.298362117370324,80.9303793665552,529013.800333333,109.86448369739816,3.3087053028698716,3.832878387636836,-0.5241730847669643,66.98188744216075,96.78208114694971,9685.0,20.485286525554983,47.583753880367006
100-200 AED,481171.903,296867.8316666667,16.520554657398414,16.485219870493413,62.082870447302675,184304.07133333327,60.248760359095,2.5817257710523274,2.4768461668050246,0.10487960424730297,129.93759363776294,94.55994787459005,3387.0,17.832890463537055,16.577789774007805
200-400 AED,84615.075,56850.44833333334,2.905173728270177,3.156933963675246,48.838008284250094,27764.626666666656,8.248190784451424,1.8544324150498444,1.4076765702769551,0.4467558447728894,235.63095238095238,92.16555900928633,667.0,13.043478260869565,2.4973737188982286
400+ AED,26589.739999999994,16050.976666666667,0.9129320524686015,0.8913188000216393,65.65808145007995,10538.763333333327,36.01305970149253,2.111024237685692,1.287313432835821,0.823710804849871,499.8071428571428,90.65676309724196,169.0,10.059171597633137,0.9479410940523465
