sku,product_name,brand,pst,gmv,gv,orders,units,instock,atc,platform_gmv_loss,express_gmv_loss,cvr,asp
Z5AB44E40CF7C17D35720Z-1,"50 Pcs Coffee Bags with Valve, 8 oz Kraft Paper Stand-Up Pouches, Resealable Coffee Bean Storage with Side Zipper, Vented Foil Bags for Freshness  (Kraft)",hzyh,food_containers,65.99,4.0,1.0,1.0,100.0,1.0,0.0,0.0,0.25,65.99
Z5AB4F7DEE79A62A1A76EZ-1,"Space Saver Bags, 11 Piece Set Vacuum Storage Bags with Hand Pump for Bedding, Comforter, Pillows, Towel, Blanket, Clothes",goolsky,space_saver_bag,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5AB53A78958A56ADE3E0Z-1,4Pack Clothing Storage Boxes with Lid,kimaya,storage_box,50.66,4.0,1.0,1.0,100.0,2.0,0.0,0.0,0.25,50.66
Z5AB67653D26FCFEAC453Z-1,"Rice Dispenser 20L, Compass Rice Bucket, Moisture-Proof Sealed Rice Bucket, Food-Grade Grain Container, Food-Grade Material, Sealed Thickened Rice Cylinder Box Noodle Bucket Rice Flour Storage Tank,Moisture-Proof",duniso,food_containers,0.0,16.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0
Z5AB93557CBB5C8F0A72AZ-1,"100 Pack Bread Paper Bags, Heat-Sealable Bakery Bags with Clear Front Window and Label Seal Stickers for Baked Goods Cookie Sandwich Candy Brown Size 25X21CM",lateen,bag,42.0,13.0,1.0,1.0,100.0,4.0,0.0,0.0,0.07692307692307693,42.0
Z5AB9518ABE302BA62132Z-1,B.Box “Not So Mini” Lunch Box for Kids | Leakproof Compartments | 33.8 fl oz Capacity | Whole Fruit Holder | BPA Free | Easy Open Design-Blue Blaze,b_box,lunch_box,0.0,0.0,0.0,0.0,43.75,0.2,0.0,0.0,0.0,0.0
Z5ABA32E750CC0D3F58B4Z-1,Foldable Clothes Drying Stand,dubaigallery,closet_organization_systems,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5ABE7FCC595AC519FFBCZ-1,"Professional Makeup Train Case, Large Rolling Makeup Organizer, Cosmetic Trolley with Telescopic Handle, Portable Make Up Travel Case for Hairstylist Makeup Artist",jcb_chic,space_saver_bag,0.0,15.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
Z5AC4D3B79709690993D6Z-1,"24-Pack,330ml/12Oz Square Plastic Bottles with Black Caps,Reusable,for Juice Water Beverages",arabest,storage_bottles,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5AC4D86BE2B45C5B47EFZ-1,"8PCS Acrylic Shelf Dividers for Closets Organization, Clear Closet Wardrobe Separator, Vertical Closet Shelf Divider Purse Organizer for Sweater Shirts Clothes Handbags Cabinets Bookshelves",tpgp,closet_shelf_divider,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
