pst,<25 AED,25-50 AED,50-100 AED,100-200 AED,200-400 AED,400+ AED
storage_box,267,1056,936,319,58,15
racks,139,915,1352,924,139,29
food_containers,796,1773,1347,296,36,21
space_saver_bag,163,521,528,86,4,4
closet_clothes_hanger,430,673,549,150,13,2
lunch_box,349,1211,828,315,122,14
clothes_rack,47,197,381,205,49,20
bag,274,434,198,46,17,1
cabinet_drawer_organization,85,298,299,87,18,3
lunch_bag,225,444,273,92,38,5
