pst,gmv_aug,gmv_jul,gmv_h1,share_aug,share_h1,gmv_growth_mom_pct,gmv_growth_vs_h1_pct,abs_gmv_chg_mom,abs_gmv_chg_vs_h1,gv_growth_vs_h1_pct,cvr_aug,cvr_h1,cvr_chg_pp,asp_aug,asp_h1,asp_chg_pct,instock_aug,n_skus_aug,n_selling_aug,selling_pct_aug,gmv_per_sku_aug,ctr_aug,ctr_h1,contribution_to_cat_chg_vs_h1_pct
storage_box,431905.85299999994,412834.6771612903,198275.7283333333,14.659962724995706,10.876382653980242,4.619567321680858,117.830924960163,19071.175838709634,233630.12466666664,210.96827051988674,3.664937350201754,5.514176473509112,-1.8492391233073577,48.9384004305705,43.9635761271249,11.315786252374965,93.73761162185251,2685.0,716.0,26.666666666666668,84.66252141527002,6.692987467273855,4.70366063450929,20.799255193043162
racks,424666.131,375442.02012903226,361616.93,14.414228489346598,19.836437560453398,13.11097539216584,17.43535652492819,49224.110870967736,63049.201,64.22687842366783,2.3875175431354743,3.506977562859909,-1.1194600197244344,71.70628488931666,69.12299149383543,3.7372418925353075,96.15743416165117,3505.0,739.0,21.08416547788873,63.768470756062776,7.733625661361304,4.885261104766278,5.613045077930285
food_containers,322056.97299999994,281315.3630967742,225437.32666666666,10.931417545538444,12.366327688858123,14.48253997035006,42.85876157332003,40741.60990322573,96619.64633333328,-1.8309005625832067,6.861839674916882,4.938230368041075,1.9236093068758071,37.77661466458658,37.23057333957227,1.4666476393849381,95.85345862571577,4261.0,952.0,22.34217319877963,39.78025580849565,3.4261182346188552,4.091255788099387,8.601701872204238
space_saver_bag,285821.883,290158.5858064516,83782.36833333333,9.701508145035682,4.595868114114776,-1.4945974438076488,241.14801083545396,-4336.702806451649,202039.51466666663,127.06587037537764,7.312970340858787,7.476987103372873,-0.16401676251408537,53.6110370634355,34.747647058823524,54.28681249316985,96.2843072155394,1297.0,382.0,29.452582883577488,115.98501927525058,4.3871119765502815,5.596055833586071,17.986856064157845
closet_clothes_hanger,247462.38400000002,187157.81574193545,140069.27666666667,8.399491000365245,7.6834772662225905,32.22123960947277,76.67142280523427,60304.568258064566,107393.10733333335,20.821522632205944,13.624678663239074,9.420425345506413,4.20425331773266,34.22952956636006,35.61837931765205,-3.8992502688175232,96.58784464932539,1816.0,452.0,24.88986784140969,71.71991189427314,3.2183285261453705,4.237021886681071,9.560824609355565
lunch_box,204719.357,118652.89651612903,108370.06333333334,6.9486859737117035,5.944622102549367,72.53633329732627,88.90766573634617,86066.46048387096,96349.29366666665,72.63052988409969,3.1171348621988773,3.137309673509583,-0.02017481131070531,48.6223059566787,44.889221953745256,8.316214539828936,97.3982514965942,2821.0,627.0,22.226160935838355,38.19462247429989,3.586335494960719,5.3475078817232,8.577633340313746
clothes_rack,132565.641,106055.41109677419,115691.49166666665,4.499608750787553,6.346237856511718,24.99658398291019,14.585471317071086,26510.229903225816,16874.14933333335,-30.192257538167304,4.7177023042481165,5.091982693477956,-0.3742803892298391,74.30392971246006,41.84645225464191,77.56327169698773,97.98002893951295,884.0,211.0,23.868778280542987,78.92691176470588,5.0221160675355865,3.941923589330744,1.5022452205179786
bag,109333.69499999999,93484.11870967741,23544.075,3.711058514611168,1.2915063839962688,16.954298237056438,364.37880868116497,15849.576290322584,85789.62,134.297064852186,9.176434299814929,6.049912304798935,3.1265219950159935,29.225012696800405,20.860078263437686,40.10020637374254,94.81672835713029,973.0,237.0,24.35765673175745,59.140853031860225,5.346497098895904,5.858191726014442,7.637543325545228
cabinet_drawer_organization,104386.60799999998,96275.27999999998,101079.75,3.5431420334763057,5.544713156823823,8.42514090844503,3.2715336157835555,8111.327999999994,3306.8579999999783,2.7442590057257554,5.65190651906519,5.282878728251291,0.3690277908139,53.23674418604651,55.254965379008745,-3.652560777332339,97.14483394819756,793.0,210.0,26.48171500630517,69.28161412358132,3.655501574833243,4.381526735465927,0.294397751691005
lunch_bag,84898.53600000001,55861.755354838715,37317.50166666666,2.8816682258915955,2.04704545144761,51.97971395763907,127.50326846192503,29036.780645161292,47581.034333333344,51.42142214824704,5.659980656826879,4.454895302140875,1.2050853546860043,31.82581196581197,26.573108236411105,19.76699030715377,96.6138934441174,1094.0,316.0,28.884826325411332,40.84409506398538,3.499017138283347,5.13926527959694,4.235969470375186
foldable_wardrobe,69197.525,46819.81470967741,21511.81,2.3487367214770263,1.1800268197546422,47.79538413187531,221.6722581688849,22377.710290322582,47685.715,126.08569774174869,2.5766423357664237,1.6690793283149972,0.9075630074514264,94.84309895833333,101.71068557919622,-6.752079766009937,98.49406934290397,275.0,63.0,22.90909090909091,132.43545454545455,5.887636393328491,5.363070893772689,4.2452888160840665
storage_set,63211.53699999999,44255.74141935484,30646.60666666667,2.1455573472158687,1.6811145971044783,42.83239862829416,106.25949778887967,18955.79558064515,32564.93033333332,46.59707237417624,8.199546485260772,4.631714002449408,3.567832482811363,31.806147227533458,40.58257338335908,-21.62609569610094,98.26530612213831,1016.0,179.0,17.61811023622047,32.74530511811023,3.344375079627978,4.4403874041847935,2.899139386725285
spice_jars,63007.76199999999,52497.31870967741,46431.555,2.138640715075933,2.5469953566395738,20.020914493648355,35.700305535750395,10510.443290322575,16576.206999999988,-7.251048096920097,5.380183396900105,3.834549235797049,1.5456341611030564,44.33419786096256,42.69568275862069,3.8376599142475056,93.3589629152684,871.0,221.0,25.37313432835821,38.073455797933406,4.861700155047323,4.596390680917658,1.4757204791874121
storage_basket,57637.56399999999,49558.060387096775,26304.72,1.9563627904796057,1.4429411140269615,16.303107001755947,119.11491169645596,8079.503612903216,31332.84399999999,672.363482879302,1.334233205274634,5.318232180228979,-3.9839989749543454,52.12295532646048,44.86308129619102,16.182290249612965,98.75856608852182,877.0,181.0,20.63854047890536,34.59014823261117,14.344652963955912,4.242326120660198,2.789451142953539
closet_organization_systems,48294.02899999999,48320.56464516129,74763.56666666667,1.6392198903122102,4.1011432235214444,-0.0549158424703166,-35.4043270630481,-26.535645161304274,-26469.537666666678,-58.544892982931465,8.061391744896438,4.740720671904633,3.320671072991806,37.43432989690721,42.235326240467,-11.367252892105776,97.70712263463275,725.0,109.0,15.03448275862069,35.05918620689655,3.023449642961728,4.9455043208513505,-2.356488357639515
hanging_closet_organizer,48192.454999999994,41248.9950967742,29932.80666666666,1.6357722152147658,1.6419592148311655,16.833040143004112,61.002125649872255,6943.4599032257975,18259.648333333334,65.48702971997939,4.205735093309058,5.1286456199701345,-0.922910526661077,48.129886148007586,39.39391094538275,22.175953067307105,96.79449248962426,545.0,138.0,25.321100917431195,46.540275229357796,4.724385743838085,4.597865270328813,1.6255912458296593
storage_bottles,34091.149,29756.91251612903,20204.06,1.1571386915015358,1.1082904073591193,14.565477791157596,68.73415046282774,4334.236483870969,13887.088999999996,101.42538975501114,4.8979591836734695,5.703680135751405,-0.805720952077936,33.85416981132075,36.75693147362038,-7.897181690432651,97.91116446558834,732.0,154.0,21.03825136612022,24.511898907103824,6.781068364240244,4.612909885589659,1.2363179123908292
biscuit_cookie_jar,23837.742,20602.9135483871,19829.761666666665,0.8091124645353316,1.0877583334925875,15.700830098693189,20.21194405009238,3234.828451612899,4007.980333333333,-27.571399635406124,6.323060573857599,4.403821484032138,1.9192390898254605,42.966369863013696,36.14172843256379,18.882996819545824,98.76295164665144,307.0,67.0,21.824104234527688,40.867035830618896,4.045397876273591,5.280096254539783,0.3568161677807471
other_storage,22667.018999999997,15100.386064516128,25124.8,0.7693752036899797,1.3782167953775826,50.10887074777801,-9.782290804304921,7566.632935483869,-2457.7810000000027,-51.28187280187573,11.35876553793399,4.993405627198124,6.365359910735865,31.148851174934723,48.301441845562316,-35.511549997763645,97.48178311191751,125.0,24.0,19.2,95.44007999999998,5.812881524853619,5.479831565845408,-0.21880746029883216
under_bed_storage,16412.219,12774.893935483871,4862.973333333332,0.557071679170938,0.26675760696496315,28.472448247988996,237.49350191789395,3637.3250645161297,11549.24566666667,205.80910963607232,7.423208191126279,5.0125886930647745,2.4106194980615046,42.975174129353235,56.21934489402697,-23.558031118361292,95.24850682590652,132.0,27.0,20.454545454545457,65.4394696969697,6.2936311889163346,4.023798340378894,1.0281880739946414
food_saver,15832.509999999998,12214.259096774194,9050.755,0.5373949087073885,0.49647768546804877,29.623171365190622,74.9302682483395,3618.250903225804,6781.754999999999,-10.391119410727258,9.414870215574132,4.644326866549089,4.770543349025043,33.06706349206349,33.25445805266381,-0.563517108904761,95.18807743116842,311.0,70.0,22.508038585209004,26.793890675241155,4.847722231701075,5.575489978694483,0.6037554151158727
garage_storage,14665.092999999999,8668.991483870968,5249.974999999999,0.4977698617540972,0.28798652010413706,69.16723274310553,179.33643493540444,5996.101516129031,9415.117999999999,124.38138751953826,5.070250458155162,3.438739930263316,1.631510527891846,66.53853448275862,80.35676020408162,-17.196096117151725,97.96884544886738,159.0,38.0,23.89937106918239,48.54383647798742,4.6666096524986465,5.540308290811229,0.8381943134859524
aluminium_foil,12600.895,11587.313032258066,8317.268333333333,0.42770582921825967,0.45624239431406877,8.747342588572618,51.50280711154965,1013.5819677419349,4283.626666666667,-15.759607140073273,19.831223628691983,11.095954478135473,8.735269150556508,15.56819248826291,15.54145437558393,0.1720438257116212,99.49235232042555,183.0,52.0,28.415300546448087,36.24071038251366,3.5469086147226636,3.937353450286654,0.3813559758992703
kitchen_storage_accessories,10992.905999999999,10731.690322580644,27703.12833333333,0.3731266688793441,1.5196505744722575,2.4340590304747165,-60.3189002060357,261.2156774193554,-16710.22233333333,-66.57762341343822,5.7926829268292686,5.951681691651556,-0.15899876482228792,36.388301886792455,30.320826340751548,20.010917505523746,94.43869773572044,313.0,50.0,15.974440894568689,18.48479233226837,5.594132982481788,4.8077106066884605,-1.4876513854511397
closet_shelf_divider,8983.941,6593.603096774193,4959.878333333333,0.3049373822298274,0.2720733148932279,36.252377768920304,81.13228583900077,2390.337903225808,4024.0626666666676,116.1364479050797,2.5423728813559325,2.5954764553207266,-0.05310357396479427,51.96032967032967,55.3146282527881,-6.064035298455351,96.19662646666497,107.0,30.0,28.037383177570092,44.190560747663554,7.175097640262869,5.840696465696466,0.3582479204520983
outdoor_storage,7634.257,7294.587870967741,21501.646666666667,0.2591257383424196,1.1794693117666375,4.656454004538523,-64.49454723932772,339.66912903225875,-13867.389666666668,-78.97982583904056,3.697478991596639,3.0369704670116833,0.6605085245849556,93.44255813953488,85.77784574468086,8.935538457876596,97.19537815125531,104.0,13.0,12.5,38.63490384615385,8.834446919079436,6.659251218596128,-1.2345641511337255
paper_towel_holder,7575.755999999999,6041.568516129031,2891.8899999999994,0.2571400683788895,0.15863415304338646,25.393860547557885,161.9655657718655,1534.1874838709682,4683.866,29.307420494699638,23.20872274143302,9.063604240282686,14.145118501150336,24.92025,32.07271719038816,-22.300783397708745,95.60942367406079,136.0,44.0,32.35294117647059,29.317941176470587,3.5416781596513487,3.806321452589106,0.41698785361268914
dinnerware_stemware_storage,7140.143,5790.699870967741,3118.445,0.24235427583135585,0.17106179052017312,23.303627525194813,128.96485267497098,1349.443129032259,4021.698,68.80445178680115,3.875513799177922,2.851925919485262,1.0235878796926594,34.79601851851852,50.29750000000001,-30.8195864237417,98.44759248382303,63.0,20.0,31.746031746031743,59.65031746031747,6.237181365367712,6.169501708535166,0.35803740262818035
cooler,6955.748,4198.828387096774,6545.599999999999,0.23609544926556816,0.35905781760744376,65.65925917275847,6.26601075531655,2756.9196129032252,410.14800000000014,-44.4952085954893,7.952286282306163,3.678249927402962,4.274036354903201,81.35377777777778,91.33395348837209,-10.927125487746357,96.89363817106428,44.0,9.0,20.454545454545457,83.20272727272727,5.8536017688816475,6.089129627555802,0.03651401090115244
cling_film,6915.049999999999,8741.716129032258,4912.214999999999,0.23471405755985797,0.2694587505375442,-20.89596713127858,40.77254354705566,-1826.666129032259,2002.835,-26.51555154871531,16.783216783216783,10.657479554382125,6.1257372288346605,19.155263157894737,15.828834586466163,21.01499357553909,99.56918081884517,104.0,32.0,30.76923076923077,34.99519230769231,3.7779287439613527,5.706463822437805,0.17830524352967617
sink_sets,6868.633000000001,8063.678451612903,5297.878333333333,0.23313854871903172,0.29061424962057386,-14.820102993738152,29.648749326381303,-1195.045451612902,1570.7546666666676,0.008401596303289986,8.300079808459698,6.3432052089897075,1.956874599469989,34.760288461538465,33.18086638830898,4.76003867634386,97.01217078959831,215.0,39.0,18.13953488372093,16.814279069767444,4.166389572388109,4.474161505859357,0.13983867536036443
countertop_wall_organization,6673.123,7715.402322580645,4778.41,0.2265024513092475,0.26211889914348346,-13.509072877900477,39.65153680826886,-1042.2793225806454,1894.7129999999997,38.013698630136986,3.8213399503722085,3.340543138668589,0.4807968117036196,43.36012345679013,44.65803738317757,-2.906338931223075,91.69665012524563,331.0,38.0,11.48036253776435,10.610785498489426,4.587469265094254,4.55750273822563,0.168679528210683
flatware_utensil_storage,6658.759,4137.763612903226,4385.736666666667,0.2260149012954675,0.2405788676567891,60.92652028828537,51.8276063086323,2520.995387096774,2273.0223333333333,-1.891989415443832,5.2410901467505235,3.987250420976666,1.253839725773858,44.362151898734176,37.699742120343835,17.672295362453205,97.36635220112453,171.0,35.0,20.46783625730994,20.494795321637426,6.220116491350082,6.098236323161048,0.20235905638427168
cereal_dispenser,6220.467,5028.738580645161,2090.4533333333334,0.21113817680091929,0.11467147575117223,23.698356958574408,197.56545629656082,1191.7284193548385,4130.013666666666,93.75581395348837,5.929304446978335,4.0310077519379846,1.898296695040351,54.5655,55.745422222222224,-2.116626218236558,92.09663626043545,90.0,21.0,23.333333333333332,36.376999999999995,5.6664728306519345,5.144720181062245,0.36768035939849797
cube_shelf,5972.326999999999,4930.948645161289,4145.618333333333,0.20271568582212623,0.22740721574799486,21.119229377101878,44.063599680144215,1041.37835483871,1826.7086666666664,2.5033207315827073,4.204545454545454,3.3411668539899866,0.8633786005554679,64.14959183673469,68.90224376731301,-6.897673676097274,98.40198863470901,101.0,19.0,18.81188118811881,31.12207920792079,6.847183317771553,4.8654506768479715,0.1626253454067709
bread_box,5906.605999999999,6807.932903225805,4019.9150000000004,0.20048495103685474,0.22051177995408025,-13.239362315082893,46.93360431750418,-901.3269032258058,1886.6909999999984,92.44813278008297,4.204398447606727,4.258571740554706,-0.054173292947979484,46.399104477611935,59.407610837438426,-21.89703672046778,98.27781371220827,123.0,31.0,25.203252032520325,25.27430894308943,6.464561990382606,3.590175823745026,0.16796535821485442
food_wrap_dispenser,5416.709999999999,2125.8621935483866,3684.8350000000005,0.1838566579742819,0.20213102134923086,154.8006176712089,47.000069202555835,3290.8478064516125,1731.8749999999986,-27.217071890851845,6.164383561643835,5.58859541717684,0.5757881444669946,41.31739130434782,30.203565573770494,36.79640307179111,98.12499999975685,196.0,25.0,12.755102040816327,14.545408163265304,6.9616631699408735,5.608475989601216,0.154182642922636
travel_containers,5233.834999999999,4807.2010322580645,1284.4466666666667,0.17764942400254505,0.07045811185628349,8.874893412592186,307.47779848131745,426.6339677419346,3949.3883333333324,219.13736263736268,11.97252208047105,4.8901098901098905,7.082412190361159,15.562994350282484,31.714732510288066,-50.92818662357016,99.92639842960929,86.0,15.0,17.441860465116278,32.03081395348837,5.732448244824482,5.2106446025452,0.3515999313813977
egg_holder,2835.9779999999996,2536.5956129032256,1421.1000000000001,0.09626017216513125,0.07795420810956039,11.802527197235037,99.56217014988384,299.382387096774,1414.8779999999995,58.95810241631565,7.3131955484896665,4.899135446685879,2.4140601018037873,30.461632653061223,36.28340425531915,-16.045273925487443,97.87360890279751,98.0,23.0,23.46938775510204,15.230816326530611,2.581889828421312,3.799184745991106,0.1259615327047815
pods,586.986,743.485935483871,1862.7266666666667,0.01992377000756767,0.10217956669098659,-21.049481639759424,-68.48780819515477,-156.499935483871,-1275.7406666666666,-79.2684438933664,5.681818181818182,4.277743335399876,1.404074846418306,61.788,52.47117370892019,17.756085165474257,91.61931818383586,65.0,5.0,7.6923076923076925,4.752923076923077,4.290589956118966,4.13095441352228,-0.1135746330829606
tool_organizers,123.5,282.9455483870967,742.0316666666668,0.004191898266627495,0.04070402573162851,-56.352025785880144,-83.35650545012679,-159.44554838709672,-618.5316666666668,-66.03926878808396,2.272727272727273,5.0101557210561944,-2.737428448328922,65.0,42.001792452830195,54.75530020057543,78.69318183066889,21.0,1.0,4.761904761904762,3.0952380952380953,4.761904761904762,3.860832287745713,-0.055065664148977074
clamshells_hinged,0.0,49.03225806451612,29.483333333333334,0.0,0.0016173034286328936,-100.0,-100.0,-49.03225806451612,-29.483333333333334,89.99999999999999,0.0,16.666666666666664,-16.666666666666664,0.0,88.45,-100.0,99.99999999999999,5.0,0.0,0.0,0.0,2.1052631578947367,22.22222222222222,-0.002624795816962765
carton,0.0,68.64516129032259,0.0,0.0,0.0,-100.0,,-68.64516129032259,0.0,1495.9999999999998,0.0,0.0,0.0,0.0,,,99.99999999999999,5.0,0.0,0.0,0.0,8.860759493670885,2.092050209205021,0.0
