pst,brand,impr,gv,gmv,ctr
food_containers,yah_creation,26923.0,1200.0,3054.8,4.45715559187312
food_containers,yasminara,21081.0,567.0,580.7,2.689625729329728
food_containers,yoawllty,32911.0,1244.0,6482.8,3.779891221779952
food_containers,zimnest,86332.0,2441.0,14554.38,2.827456794699532
lunch_bag,adando,23498.0,818.0,1625.76,3.4811473316878034
lunch_bag,adidas,33924.0,1502.0,4715.1,4.427543921707346
lunch_bag,arabest,17356.0,724.0,1240.75,4.1714680802028115
lunch_bag,cleveree,15940.0,906.0,2128.86,5.683814303638645
lunch_bag,cytheria,84806.0,3973.0,3959.84,4.684810037025682
lunch_bag,dmg_tech,38375.0,736.0,770.02,1.917915309446254
lunch_bag,generic,198412.0,8290.0,12961.050000000001,4.178174707174969
lunch_bag,hoasis,34579.0,1224.0,1338.5700000000002,3.5397206396946124
lunch_bag,home_care,15733.0,756.0,948.45,4.805186550562512
lunch_bag,homestar,21556.0,739.0,1183.49,3.42827982928187
lunch_bag,jacone,27574.0,996.0,1339.8500000000001,3.6120983535214335
lunch_bag,kadeo,24853.0,1093.0,1324.88,4.397859413350501
lunch_bag,lennd,32743.0,1392.0,2651.35,4.251290352136334
lunch_bag,lokass,15261.0,559.0,847.2800000000001,3.662931655854793
lunch_bag,lullaxx,18528.0,675.0,906.85,3.6431347150259064
lunch_bag,mahmir,93207.0,3071.0,5386.17,3.2948169128928084
lunch_bag,mi_vaza,413863.0,8558.0,12844.3,2.0678340416997893
lunch_bag,milton,34828.0,993.0,961.01,2.851154243711956
lunch_bag,munkan,68829.0,2484.0,3399.0299999999997,3.6089439044588763
lunch_bag,omie,16828.0,314.0,2207.4700000000003,1.8659377228428808
lunch_bag,qiccijoo,16395.0,719.0,1632.4299999999998,4.3854833790789876
lunch_bag,rayze,32049.0,1441.0,1456.5500000000002,4.4962401322974195
lunch_bag,robust,24106.0,620.0,843.72,2.571973782460798
lunch_bag,sky_view,32603.0,1070.0,1648.5500000000002,3.281906573014753
lunch_bag,smiggle,37197.0,2323.0,8576.28,6.245127295211979
lunch_bag,ssovi,62069.0,1853.0,3609.5899999999997,2.985387230340428
lunch_bag,thermos,92654.0,3069.0,4243.07,3.312323267209187
lunch_bag,topyich,24472.0,516.0,1076.31,2.1085322000653806
lunch_bag,toshionics,226165.0,9705.0,9578.15,4.291114893993323
lunch_bag,vaodo,24897.0,930.0,1209.95,3.735389806000723
lunch_bag,vio,19397.0,859.0,1128.05,4.4285198742073515
lunch_bag,yoawllty,54911.0,2021.0,3878.38,3.6805011746280343
lunch_box,4h_essentials,25220.0,1038.0,1086.5300000000002,4.115781126090404
lunch_box,adando,148835.0,6334.0,19836.35,4.255719420835153
lunch_box,aideli,115773.0,4116.0,6358.43,3.5552330854344274
lunch_box,arabest,81004.0,3786.0,5793.08,4.67384326699916
lunch_box,avrini,25737.0,807.0,780.02,3.1355635854994754
lunch_box,beauenty,107857.0,3982.0,5074.4800000000005,3.6919254197687676
lunch_box,beola,554048.0,17882.0,54164.94,3.2275181933695274
lunch_box,berghoff,16100.0,497.0,280.01,3.0869565217391304
lunch_box,borosil,43082.0,2303.0,3282.0600000000004,5.345619980502298
lunch_box,changli,50661.0,2241.0,5012.259999999999,4.423521051696571
lunch_box,chielor,26073.0,1258.0,2879.5499999999997,4.824914662677866
lunch_box,db_innov,17603.0,935.0,1286.21,5.311594614554338
lunch_box,disney,35386.0,1182.0,548.71,3.3403040750579325
lunch_box,dmg_tech,17464.0,277.0,1967.24,1.5861200183234083
lunch_box,doodle_kiddo,18814.0,507.0,399.96000000000004,2.6948017433825875
lunch_box,garlo,16890.0,742.0,805.8599999999999,4.393132030787448
lunch_box,generic,858020.0,37693.0,64899.07,4.393021141698329
lunch_box,ggerou,131774.0,7381.0,15282.09,5.60125669707226
lunch_box,gzyizhou,22313.0,1275.0,2320.7,5.714157665934657
lunch_box,haidue,53168.0,2519.0,2142.36,4.737812217875414
lunch_box,homestar,30979.0,1707.0,2359.13,5.5101843184092445
lunch_box,homify,215652.0,1237.0,9304.29,0.5736093335559141
lunch_box,hookor,20689.0,706.0,476.09000000000003,3.412441393977476
lunch_box,hydrobrew,18486.0,609.0,1667.26,3.2943849399545604
lunch_box,joyoussto,25935.0,948.0,1520.3,3.655292076344708
lunch_box,lennd,22371.0,827.0,1469.48,3.6967502570291897
lunch_box,livvy,50957.0,1773.0,1542.77,3.479404203544165
lunch_box,lktocaft,33029.0,1124.0,960.12,3.403070029368131
lunch_box,lock_and_lock,76859.0,1770.0,1448.6299999999999,2.302918330969698
lunch_box,lodroc,17984.0,803.0,623.98,4.465080071174377
lunch_box,lucky,70955.0,2515.0,4541.01,3.544500035233599
