partner_id,partner_name,gmv,gv,orders,units,n_skus,instock,cancelled_gmv,returns_gmv,n_brands,business_model,cvr,cancel_rate,return_rate,share,cum_share
9404,noon,336248.77,101794,8391,10653,1971,96.89366514711837,8638.039999999999,9669.74,132,Retail,0.08243118454918757,2.5689432261715033,2.8757696273506066,21.685967786046138,21.685967786046138
38501,Duniso,169484.16,59575,2755,3192,1317,98.10732270238475,3444.22,8246.92,2,FBN,0.04624422996223248,2.0321781103319623,4.865894252300628,10.930680977673433,32.61664876371957
311156,MOMENT,28677.32,11370,1358,1482,33,86.68040897098743,452.46,541.76,1,FBN,0.11943711521547933,1.5777624966349713,1.8891584011337181,1.8495099259698007,34.466158689689365
38473,Forever18,28497.97,12921,804,947,1081,98.24800711982141,877.1,1570.2,86,FBN,0.062224286045971675,3.077763082773966,5.509866141342699,1.8379429592789562,36.30410164896832
281979,longx,26998.07,7885,258,263,15,91.6019340519997,893.38,2408.99,1,FBN,0.03272035510462904,3.3090513507076618,8.92282300179235,1.7412086780433977,38.04531032701172
26941,Wish store,26163.57,9986,625,691,508,97.67612157014925,887.58,1274.4,55,FBN,0.06258762267174044,3.392426950909223,4.8708949122768805,1.6873885849098067,39.732698911921524
55566,MahMir,22796.879999999997,5489,373,398,51,99.99999999999999,144.85000000000002,958.5000000000001,1,FBN,0.06795408999817817,0.6353939661918651,4.2045227241622545,1.470257884667829,41.202956796589355
372146,Official Factory Bag Store​,20826.989999999998,4741,201,204,22,93.38747099765146,1403.62,1969.9,1,FBN,0.04239611896224425,6.739428021043848,9.458399893599605,1.3432121527769603,42.54616894936632
18198,ladyhill,19839.54,11584,312,345,385,94.73465555939875,542.7,663.7099999999999,6,FBN,0.026933701657458564,2.7354464871665374,3.3453900644873817,1.2795277298113945,43.82569667917771
319670,qzroctc,18614.559999999998,5219,123,138,9,99.99999999999999,133.62,499.25,1,FBN,0.023567733282237976,0.7178251863057736,2.682040295338703,1.2005240896834297,45.02622076886114
685,DubaiGallery,18507.67,4584,147,176,2166,98.81517233814952,789.06,928.6400000000001,100,DSE,0.03206806282722513,4.263421597640329,5.017595407741764,1.1936303452196195,46.219851114080754
272432,omniflow general trading,18176.32,4472,201,220,19,98.75754695881815,380.14,407.99,1,FBN,0.044946332737030414,2.0914024400978852,2.244623774229327,1.1722603178261917,47.39211143190695
38899,wordcood,15539.900000000001,5645,303,333,44,95.75398582811171,777.53,445.71999999999997,1,FBN,0.053675819309123116,5.00344275059685,2.86822952528652,1.0022275198162907,48.394338951723235
220440,"Fanxing International Trade Co., Ltd.",15491.0,11106,227,240,21,99.42429767691645,203.89999999999998,246.9,1,FBN,0.02043940212497749,1.3162481440836613,1.5938286747143502,0.9990737719981568,49.39341272372139
33987,Haidu Trading (FZE),14789.909999999998,7550,288,304,30,98.52649006619508,57.8,392.17999999999995,2,FBN,0.03814569536423841,0.3908069758369051,2.6516726606179484,0.9538577994456947,50.34727052316708
133904,"Zhongshan Kaixinsheng Trading Co., Ltd.",14522.87,3908,246,269,7,99.3890736949795,305.75,114.9,1,FBN,0.06294779938587512,2.1053001231850175,0.7911659334553018,0.9366353696429457,51.283905892810026
249124,quanzhoushi canyang guangdian keji youxian gongsi,13754.7,2177,58,64,48,97.41329811666161,229.0,0.0,1,FBN,0.0266421681212678,1.6648854573345837,0.0,0.8870931516172647,52.17099904442729
14890,Happy.Shopping,13502.57,8889,302,324,32,99.87906401168442,329.4,559.34,2,FBN,0.03397457531780853,2.4395355847072078,4.142470655586307,0.8708323246768543,53.041831369104145
12047,"Cassida Middle East  ""Official distributor of Beola""",13041.21,4973,135,139,87,93.04117232960407,270.2,323.6,1,FBN,0.0271465915946109,2.0718936356365703,2.4813648426794757,0.8410774556916972,53.88290882479584
295300,chengdufuqiekejiyouxiangongsi,12926.66,2007,195,212,5,100.0,245.99,282.0,1,FBN,0.09715994020926756,1.9029664275226548,2.181537999761733,0.8336896885635332,54.71659851335937
12160,DOREEN,11580.99,4395,173,193,83,97.06058020468859,189.41,697.08,2,FBN,0.039362912400455065,1.6355251148649639,6.019174526530116,0.7469022892500764,55.463500802609445
39611,UNUNS-OFFICIAL,11404.03,4457,179,216,285,98.6173435041015,157.39000000000001,208.11,1,FBN,0.040161543639219206,1.3801261483878944,1.8248812042760323,0.7354894627900163,56.19899026539946
13431,AFTRON Trading Div,11358.25,4130,166,181,188,95.58565375293296,365.87,407.48,7,FBN,0.04019370460048426,3.221182840666476,3.5875244866066516,0.732536935691567,56.93152720109103
218377,Junfa Jiang,11230.32,3002,178,186,50,100.00000000000004,239.96,249.95999999999998,2,FBN,0.059293804130579615,2.136715605610526,2.2257602632872437,0.7242862412462939,57.655813442337326
259619,Digital Infinites FZE,10963.389999999998,1320,138,146,3,100.0,309.97,124.99,1,FBN,0.10454545454545454,2.8273189223406274,1.1400670777925443,0.70707090576379,58.36288434810112
12901,WA Mall,10755.169999999998,3439,140,169,66,97.42476010461637,372.94,1146.1699999999998,1,FBN,0.040709508578075024,3.467541656710215,10.656921276000286,0.693642002477659,59.05652635057878
18380,Red Dot Gift,10029.129999999997,1898,266,461,431,94.00026343553354,765.84,193.58999999999997,5,FBN,0.14014752370916755,7.636155877927599,1.9302771027995453,0.6468169091059242,59.7033432596847
99774,shenzhenshijiandaojigongyinglianyouxiangongsi,9855.17,3151,121,133,32,91.39360520470403,802.0,248.5,1,FBN,0.03840050777530943,8.137860635585179,2.5215191620235875,0.6355975641070993,60.3389408237918
174078,CHENHAN,8976.61,5346,119,126,27,98.23466142909184,133.44,154.73000000000002,4,FBN,0.02225963337074448,1.48652999294834,1.7237019320211082,0.5789358732461671,60.91787669703797
142715,MIhouse,8647.720000000001,10473,110,126,32,93.917693115646,69.0,187.0,1,FBN,0.010503198701422706,0.7978981743164671,2.162419689814193,0.5577245006509522,61.475601197688924
80537,Fuzhou Sanshi Maoyi  Youxian Gongsi,8418.220000000001,5130,94,103,54,99.49074074070363,303.76,183.76,1,FBN,0.018323586744639377,3.6083637633609,2.1828842676955458,0.5429231688664595,62.01852436655538
297027,Shanghai Nuankong Wenhua Chuanbo Youxian Gongsi,8357.4,662,123,141,5,100.00000000000003,58.0,119.98,1,FBN,0.18580060422960726,0.6939957403020078,1.4356139469212914,0.5390006547090178,62.557525021264404
82864,YIYICHEN,8126.839999999999,3696,102,109,38,99.26948051939483,49.99,220.95,3,FBN,0.027597402597402596,0.6151222369334207,2.7187689187925446,0.5241309594748886,63.08165598073929
133449,guangzhouqiaochengdianzishangwuyouxiangongsi,7538.219999999999,3501,109,120,21,99.74114538700044,42.9,129.39,1,FBN,0.031133961725221364,0.5690998670773737,1.7164529557375612,0.4861686069041343,63.56782458764343
55436,URbazaar,7439.279999999999,1310,132,190,7,98.79770992364286,0.0,279.31,1,FBN,0.10076335877862595,0.0,3.754530008280372,0.47978758831259744,64.04761217595603
441492,"Guangzhou Dongshu Trading Co., Ltd",7415.74,1976,74,81,16,88.78732287456697,0.0,441.97,3,FBN,0.03744939271255061,0.0,5.959890718930276,0.4782694037801053,64.52588157973614
450468,foshanyichengongmaoyouxiangongsi,7044.540000000002,5302,71,81,20,96.57558468502083,0.0,209.8,2,FBN,0.013391173142210487,0.0,2.97819304028368,0.4543292976432701,64.9802108773794
137,Tavola,6926.84,1475,37,41,151,98.02966101430242,209.0,0.0,24,DSE,0.025084745762711864,3.0172488465158716,0.0,0.446738374980809,65.42694925236022
10500,gooddealUAE,6802.9,1917,93,110,142,98.9762649969568,0.0,294.27,12,DSE,0.048513302034428794,0.0,4.3256552352673125,0.4387450108789788,65.86569426323919
307642,Noor Living,6486.910000000001,1819,42,43,5,96.06239692139023,628.0799999999999,142.8,1,FBN,0.02308960967564596,9.682267828596355,2.2013562697802187,0.41836560856707533,66.28405987180626
44744,MARCOLO,6417.4400000000005,2394,116,179,54,98.7573099412351,24.0,35.0,1,DSE,0.04845446950710108,0.3739809020419357,0.5453888154778229,0.4138852228630722,66.69794509466934
133252,quan zhou hui lin shang mao you xian gong si,6216.82,1914,25,29,30,93.54427899691927,0.0,0.0,1,FBN,0.013061650992685475,0.0,0.0,0.4009464726120703,67.09889156728141
420582,SOTEN,5557.11,3487,70,82,14,99.59133926008995,68.42,79.9,2,FBN,0.02007456266131345,1.231215505901449,1.4377977042023644,0.3583992543482459,67.45729082162966
373799,Beautiful jewelry,5470.45,1199,37,38,12,68.99499582974089,396.01,556.36,1,FBN,0.030859049207673062,7.239075395991189,10.170278496284583,0.35281021987136507,67.81010104150101
308753,YunStore,5306.42,536,108,137,2,100.0,229.4,39.9,1,FBN,0.20149253731343283,4.323065268109196,0.751919373136691,0.3422312985092285,68.15233234001025
135588,Shenzhenshi Beisixiaole Maoyiyouxiangongsi,5111.27,2164,54,59,50,100.00000000000007,0.0,191.61,2,FBN,0.024953789279112754,0.0,3.7487747663496545,0.3296453294558788,68.48197766946613
60625,Whale-Wish,5109.889999999999,2277,92,98,14,75.51054018450706,193.17,66.51,1,FBN,0.04040404040404041,3.780316210329381,1.3015935763783566,0.3295563279837106,68.81153399744984
15685,Coco-shop,4974.49,3181,243,252,6,100.0,79.6,398.00000000000006,1,FBN,0.07639107198994027,1.6001640369163472,8.000820184581737,0.320823864699962,69.1323578621498
443869,B23,4691.7,1337,44,44,11,92.64210919951829,200.6,295.2,1,FBN,0.032909498878085267,4.275635697082081,6.291962401688088,0.30258565722572794,69.43494351937554
49602,SANDFULL,4519.639999999999,820,84,85,27,99.93140243895883,0.0,98.30000000000001,1,FBN,0.1024390243902439,0.0,2.1749519873264247,0.2914888504856852,69.72643236986123
17229,Hapre,4340.62,2613,75,79,119,99.5933792575498,91.95,198.54000000000002,2,FBN,0.02870264064293915,2.118360971474121,4.57400094917316,0.27994316675557673,70.0063755366168
36624,Day To Day Hypermarket,4224.650000000001,2849,137,225,60,96.73350298346254,171.29999999999998,169.75,17,DSE,0.048087048087048084,4.054773768241155,4.018084338347555,0.2724638184024281,70.27883935501923
44832,jiachenbao,4149.84,535,15,19,57,75.86448598428777,0.0,72.4,4,FBN,0.028037383177570093,0.0,1.744645576696933,0.2676390356974263,70.54647839071666
45588,N A C Home Building Materials LLC,4026.9700000000003,912,69,84,80,96.18969298225198,79.35,127.55,1,FBN,0.0756578947368421,1.9704641454989729,3.167393846986692,0.25971467998343667,70.80619307070009
242283,TAIZHOU CEDARWAVE TECH LLC.,3946.2999999999997,1697,62,73,6,100.00000000000001,52.09,0.0,1,FBN,0.03653506187389511,1.319970605377189,0.0,0.25451196349082217,71.06070503419092
76772,PULIZI,3923.2999999999997,1225,54,62,27,97.7448979590565,221.8,157.9,6,FBN,0.044081632653061226,5.653404022124233,4.024673106823338,0.2530286056213523,71.31373363981227
476447,MUNKAN FZ-LLC,3818.5600000000004,1980,146,157,24,99.22664141395269,49.58,44.18,1,FBN,0.07373737373737374,1.2983952065700157,1.1569806419173718,0.24627352287142742,71.5600071626837
94829,DesertDecorGoods,3620.84,3321,71,79,156,88.62541403266411,29.99,146.26,3,FBN,0.021379102679915687,0.8282608455496514,4.039394173727643,0.23352180469961953,71.79352896738332
121663,SUPER FAST,3616.93,1907,79,84,12,99.08232826413426,39.99,0.0,1,FBN,0.041426324069218666,1.1056337833466503,0.0,0.23326963386180963,72.02679860124513
46091,Zalcoon,3502.36,1249,187,213,24,100.00000000000003,152.8,11.45,2,FBN,0.14971977582065651,4.362772530522276,0.32692241802670197,0.22588057685723742,72.25267917810237
163,homesmiths,3498.13,1833,53,65,376,94.94339879882469,52.0,0.0,43,DSE,0.028914348063284235,1.4865085059731915,0.0,0.22560776799689577,72.47828694609926
454757,APEX GLOBAL GENERAL TRADING LLC SPC,3479.9700000000003,9235,82,88,50,98.52328099619214,116.80000000000001,238.10999999999999,1,FBN,0.008879263670817542,3.356350773138849,6.842300364658314,0.22443656021821873,72.70272350631748
42110,DMG TECH,3478.88,794,70,79,8,97.80384130978604,83.0,39.0,1,FBN,0.08816120906801007,2.3858253230924893,1.1210504530193626,0.22436626195396991,72.92708976827146
520632,MOMO,3452.6600000000003,549,32,34,22,99.88615664843435,0.0,194.54000000000002,2,SBB,0.058287795992714025,0.0,5.634496301402397,0.2226752339827743,73.14976500225423
237044,LATUS LIGHTING EQUIPMEMT TRADING - FZE,3443.57,1223,33,35,4,100.00000000000001,0.0,399.29999999999995,1,FBN,0.02698282910874898,0.0,11.595524412165279,0.22208898515523162,73.37185398740947
81216,Saluck-store,3408.9700000000003,4297,46,48,26,99.22474982533569,0.0,95.9,1,FBN,0.010705143123109146,0.0,2.8131664403030827,0.21985749896898565,73.59171148637846
140786,Guangzhouaitongwuliankejiyouxiangongsi,3359.38,1689,54,56,9,100.00000000000001,0.0,106.2,1,FBN,0.03197158081705151,0.0,3.1612976203942393,0.21665925041476783,73.80837073679322
203888,HTH Shop,3336.37,1287,28,32,6,100.00000000000001,209.8,429.5,1,FBN,0.021756021756021756,6.288271384768477,12.873272448799145,0.2151752476070938,74.02354598440031
31675,VAODO,3257.52,1479,61,61,87,96.62778904654209,0.0,119.69,1,FBN,0.041244083840432724,0.0,3.6742675409513987,0.21008990986762865,74.23363589426795
177372,AL HARAKA AL SAREEA GENERAL TR.L.L.C,3236.47,992,82,85,4,99.24395161287,0.0,114.0,2,FBN,0.08266129032258064,0.0,3.522356147283924,0.20873231494796168,74.44236820921591
42213,Lucid,3172.2400000000002,1647,44,45,155,92.64192471074205,133.04000000000002,109.85,1,FBN,0.02671523982999393,4.193881925705496,3.4628527475853024,0.20458987686291608,74.64695808607883
272456,Shenzhenshi Ruitongsheng Electronics Co LTD,3163.5000000000005,461,51,68,17,100.00000000000003,0.0,79.1,1,FBN,0.11062906724511931,0.0,2.500395131974079,0.20402620087251758,74.85098428695134
45953,Muyu mall,3153.1899999999996,1073,35,39,92,98.2700372756686,115.44,275.21,1,FBN,0.032618825722273995,3.6610543608218986,8.727986578671123,0.20336126958407255,75.05434555653542
12790,Kabrita,3131.59,1346,55,65,170,99.79569093613591,152.79,348.92999999999995,3,FBN,0.04086181277860327,4.878991183392461,11.142263195373594,0.20196820306317914,75.2563137595986
43983,MITOYO Official Store,3023.64,1589,40,43,1,100.0,71.99,71.99,1,FBN,0.025173064820641914,2.3809051342090988,2.3809051342090988,0.19500609514973255,75.45131985474833
19127,EPSILON WORLD GENERAL TRADING LLC,3001.5099999999998,1556,119,120,26,99.54209511512403,106.0,263.52,2,FBN,0.07647814910025708,3.531555783588927,8.779580944258058,0.19357884690402088,75.64489870165235
19391,Aiwanto & Home,2944.44,831,24,33,101,90.13237063886154,45.95,89.9,5,FBN,0.02888086642599278,1.5605683933107823,3.0532121557919334,0.1898981845731233,75.83479688622548
17312,Ayda,2941.33,814,43,64,105,99.37039312039674,0.0,226.6,5,DSE,0.052825552825552825,0.0,7.703997851312161,0.1896976087916428,76.02449449501712
