business_model,gmv,gv,orders,units,instock,express_instock,cancelled,returns,platform_loss,express_loss,n_skus,n_brands,n_sellers,cvr,asp,cancel_pct,return_pct,share,gmv_per_seller,gmv_per_sku
DSE,211833.54,86744.0,3036.0,3976.0,93.22948108874249,76.37785768655345,8006.12,12086.32,11563.380000000001,18873.219999999998,12040.0,716.0,347.0,3.4999538873005624,53.27805331991952,3.7794392710427256,5.705574291965285,5.982761597280669,610.4712968299712,17.594147840531562
FBN,2443260.3800000004,1013454.0,41255.0,46488.0,90.67802490317534,86.33510792637541,58929.530000000006,108500.31000000001,234752.34,291078.62,19804.0,1178.0,1620.0,4.070732366737908,52.556797022887636,2.411921810805936,4.4408001246269135,69.00439077599032,1508.1854197530865,123.3720652393456
Retail,771860.3899999999,297718.0,20064.0,25450.0,84.25890786422096,82.36278023754305,18970.19,23181.68,97509.42,120186.84999999999,2280.0,166.0,15.0,6.739263329728132,30.3285025540275,2.4577229568678867,3.003351422139955,21.79945961226952,51457.35933333333,338.53525877192976
SBB,113777.45000000003,34873.0,1299.0,1770.0,92.63409668746606,73.03322576080556,16374.33,5319.09,6639.25,7287.17,11016.0,912.0,827.0,3.7249447997017753,64.28104519774013,14.391542436572447,4.674994913315423,3.213388014459474,137.57853688029024,10.328381445170663
Unmapped,0.0,0.0,0.0,0.0,58.568548387096776,53.578629032258064,0.0,0.0,0.0,0.0,62.0,35.0,33.0,,,,,0.0,0.0,0.0
