brand,gmv,cancelled,cancel_pct
1chase,6018.64,45.5,0.7559847407387715
3diamonds,2310.15,55.0,2.380797783693699
abj,2528.75,229.7,9.08353929807217
adando,21541.38,195.82,0.9090411106437934
adidas,5836.91,312.01,5.345465323261794
aideli,8752.699999999999,59.0,0.6740777131627956
aiwanto,5448.93,0.0,0.0
almufarrej,4281.639999999999,139.85000000000002,3.2662718023934763
alruht,2478.04,0.0,0.0
alsaqer,3862.5000000000005,111.77000000000001,2.893721682847896
amal,2288.4,0.0,0.0
anmi,26416.53,419.4,1.5876422830704864
arabest,44788.9,962.6099999999999,2.1492155422437254
arnotec,3365.13,49.0,1.4561101651347794
artc,3260.83,896.02,27.478280069798178
auraluxi,46696.159999999996,639.11,1.3686564377028005
autoysur,3285.08,119.0,3.6224384185468845
ayda,5066.87,0.0,0.0
bannuti,6046.72,85.49,1.413824354360711
basilkit,25647.760000000002,819.01,3.1933003116061593
beauenty,36391.189999999995,1439.9699999999998,3.9569192433663205
bellsberry,2709.2599999999998,53.0,1.9562537371828472
bentgo,5452.45,531.01,9.738924703573623
beola,75019.98999999999,1439.71,1.9191018287259172
bgm,2793.6399999999994,0.0,0.0
blooming_time,12374.84,649.5,5.248552708560272
borosil,6086.38,362.65999999999997,5.9585500740998745
brabantia,2455.13,0.0,0.0
bsq,3606.31,0.0,0.0
bukela,5868.45,55.91,0.9527217578747369
cedarwave,7733.160000000001,104.18,1.3471853679479022
chako_lab,4867.7300000000005,745.01,15.305080602251971
changli,5684.88,87.8,1.5444477280083306
chicabode,2625.83,0.0,0.0
chielor,3009.5099999999993,0.0,0.0
cityriya_long,5201.5599999999995,41.22,0.7924545713209115
clean_and_care,4091.1800000000003,165.04000000000002,4.034043967755024
cleveree,2128.86,65.6,3.0814614394558584
cosmoplast,43699.67,1632.64,3.7360465193444257
cozynest,7470.889999999999,803.08,10.749455553488275
cuisine_art,7377.1,212.16,2.8759268547261114
cytheria,4059.05,0.0,0.0
dblew,2487.4300000000003,298.01,11.98063865113792
delcasa,56958.079999999994,1831.9599999999998,3.216330325741317
dmg_tech,18440.500000000004,320.0,1.7353108646728665
dubaigallery,33463.75,1171.6599999999999,3.5012812371596125
dunekart,8067.530000000001,136.70000000000002,1.6944467513600818
duniso,356696.63,6985.77,1.9584625736441639
ecalza,19020.44,349.96000000000004,1.839915375248943
esqube,60066.659999999996,891.25,1.4837682001962487
essentials_360,8322.56,0.0,0.0
eworld,29579.78,569.97,1.9268905989158813
falahom,2811.04,131.0,4.660196937788149
falcon,5572.57,227.79,4.087701006896279
falconpack,12078.93,240.09,1.9876760607106754
falpro,3457.5099999999998,161.18,4.6617363362651165
famapy,10199.95,0.0,0.0
feelings,83889.11,1818.4599999999998,2.1676949487245722
feelso,2767.63,0.0,0.0
festive_gallery,2417.77,35.0,1.4476149509672136
flushrenic,3711.0600000000004,57.9,1.5602011285185362
forthcan,30125.870000000003,472.0,1.5667597317521451
fufu,6490.889999999999,346.93,5.344875664200133
garlo,5399.73,221.8,4.1076127880468105
ggerou,18202.320000000003,306.91999999999996,1.6861586874640149
glad,3156.29,10.29,0.3260156702964556
gtsol,2681.0699999999997,47.8,1.7828702719436644
gudoo,3665.01,64.0,1.7462435300312957
gzyizhou,3106.25,0.0,0.0
haidue,63782.229999999996,1559.1499999999999,2.444489632927541
hanayo,3141.77,99.22,3.1580924128755448
harlan,6466.639999999999,159.0,2.458773025868148
hawawa,6817.76,43.0,0.6307056863251272
hihonor,9878.21,0.0,0.0
hoasis,2779.16,65.8,2.3676218713568127
homarket,33250.04,827.9200000000001,2.4899819669389873
home_box,24902.489999999998,460.41999999999996,1.8488914160792755
home_care,7874.52,195.8,2.486500764491042
home_pro,13355.109999999999,371.59,2.7823806767596824
homestar,32074.13,1041.4499999999998,3.247009349902865
homify,15596.779999999999,708.21,4.540744948636834
hookor,8570.599999999999,353.74,4.1273656453457175
hoopzoza,4838.84,71.99,1.4877532631787782
hotpack,7086.320000000001,657.81,9.282815339979
house_day,7868.51,576.3599999999999,7.3248937854816205
hyfy,2768.37,44.99,1.6251440378273136
hzyh,2008.9399999999998,0.0,0.0
ij_store,5736.12,0.0,0.0
infosun,2252.01,0.0,0.0
jaexest,2036.4,0.0,0.0
jcb_chic,4253.07,113.0,2.6569043067713443
jehan,6282.869999999999,41.99,0.6683251444005687
joyoussto,18660.26,116.15,0.6224457751392533
keke,6424.030000000001,0.0,0.0
kimaya,2348.6499999999996,59.099999999999994,2.5163391735677942
kipling,3327.9700000000003,414.4,12.452035324837663
kovar,26514.870000000003,1030.66,3.8871018413441214
kutis,2319.69,0.0,0.0
lacoz,4406.05,0.0,0.0
lagin,2457.83,0.0,0.0
lennd,20726.199999999997,469.44,2.2649593268423542
liberti,2284.6,138.0,6.04044471679944
lingwei,2820.09,58.5,2.0744018807910383
livvy,34283.490000000005,1046.39,3.0521688427870086
locknlock,9723.300000000001,435.31,4.476977980726708
lodroc,2235.93,0.0,0.0
longchamp,142485.38999999998,5622.02,3.9456817291934287
loopitys,2122.22,159.42,7.511945038685905
lucky,4541.01,109.98,2.421928161356174
lukadah,2829.07,84.0,2.969173615357697
luxoraq,2628.17,33.49,1.2742706902521528
magic_park,2170.14,59.95,2.7624945856027727
mahmir,56391.73999999999,448.49,0.7953115119341948
mamatoons,5372.509999999999,112.99,2.103113814585734
marcolo,56577.61,1260.6799999999998,2.228231273820156
markq,11126.39,169.95,1.5274496040494716
mi_vaza,12844.3,238.79999999999998,1.859190458024182
milton,38118.649999999994,770.1800000000001,2.020480788275556
mitoyo,6228.02,71.99,1.1559050870099965
mixde,5455.150000000001,216.36,3.966160417220425
moment,105280.50999999998,1737.6200000000001,1.6504669287791258
monin,3935.09,500.73,12.72474073019931
motim,4066.8499999999995,480.01,11.802992488043573
mumfactory,3427.03,0.0,0.0
munkan,8415.699999999999,213.74,2.5397768456575216
nayzaan,2208.75,106.4,4.817204301075269
nehem,4169.24,0.0,0.0
nkx,8306.29,99.99,1.2037865280407978
noon,6065.63,78.0,1.2859340249899847
noon_east,199244.95999999996,5282.17,2.651093407833253
o2__,4344.48,486.70000000000005,11.202721614554562
ollieroo,4604.38,279.05,6.060533665770419
omie,37744.9,1034.5900000000001,2.7410060696941843
omielife,28166.88,268.0,0.9514720835250479
packwell,2794.58,141.0,5.045480895161348
palletco,2374.86,0.0,0.0
pan_home,7216.49,87.0,1.2055722380270741
pearl,2706.2599999999998,0.0,0.0
pomefar,7623.89,158.43,2.078073004725934
qibang,2127.95,22.0,1.033858878263117
qk_exclusives,2608.4799999999996,169.98,6.516438692265228
r_and_j,6817.55,77.0,1.1294379945874984
ratsaw,3622.4,0.0,0.0
raxoom,5073.829999999999,249.39000000000001,4.915221834393349
rayze,5453.639999999999,0.0,0.0
red_dot_gift,9740.84,421.62999999999994,4.328476804875144
rock_pow,4236.88,85.9,2.0274352825664166
rockcamel,3544.4700000000003,156.0,4.401222185545371
rollstimi,8991.43,554.9,6.171432130373033
royalford,64403.270000000004,1554.7499999999998,2.414085495969381
s2c,5277.59,167.97,3.1827027108964505
scrolls,3991.3799999999997,37.0,0.9269976800004011
sistema,4696.57,92.0,1.9588763714796116
sky_touch,45559.08,568.7,1.2482692802400752
skylink,21563.529999999995,409.94,1.9010802034731795
smiggle,9735.04,299.19,3.0733309775820126
snack_attack,6724.400000000001,204.96999999999997,3.048152995062756
snh_packing,10609.880000000001,274.52,2.587399668987773
solerconm,14130.21,539.99,3.8215284840069614
songmics,35777.71000000001,836.01,2.3366783396701463
sortify,4017.25,154.97,3.857614039454851
soten,14976.46,214.62,1.4330489314564325
sparksprout,3114.25,69.12,2.219474993979289
ssovi,3609.5899999999997,0.0,0.0
super_zyouth,5579.8099999999995,108.8,1.9498871825384738
taizz_ventures,9007.83,0.0,0.0
