pst,gmv,returns,return_pct
aluminium_foil,6632.05,98.77,1.489283102509782
bag,57544.049999999996,3026.47,5.259396931568077
biscuit_cookie_jar,12546.18,462.28000000000003,3.684627512119227
bread_box,3108.74,165.14,5.312120022903169
cabinet_drawer_organization,54940.31999999999,2001.99,3.6439358198132084
cereal_dispenser,3273.93,61.0,1.8632041613595896
cling_film,3639.5,0.0,0.0
closet_clothes_hanger,130243.36000000002,2739.51,2.1033778612591076
closet_organization_systems,25417.909999999996,1146.17,4.509300725354682
closet_shelf_divider,4728.39,378.73,8.009703091327069
clothes_rack,69771.39,2133.67,3.0580872761743745
cooler,3660.92,117.85,3.219136173420888
countertop_wall_organization,3512.17,242.48000000000002,6.903993827178071
cube_shelf,3143.33,486.17,15.466718416456434
dinnerware_stemware_storage,3757.9700000000003,231.5,6.160240768287133
flatware_utensil_storage,3504.61,70.46000000000001,2.0104947483457503
foldable_wardrobe,36419.75,2391.98,6.5678100481194965
food_containers,169503.66999999998,6362.3099999999995,3.753493950897936
food_saver,8332.9,285.5,3.4261781612643856
garage_storage,7718.469999999999,147.0,1.9045225284285618
hanging_closet_organizer,25364.449999999997,1659.4099999999999,6.542266834092598
kitchen_storage_accessories,5785.74,548.6,9.481933166716791
lunch_bag,44683.44,2357.4300000000003,5.275847159484588
lunch_box,107747.03,5509.539999999999,5.113403125821658
other_storage,11930.009999999998,582.4300000000001,4.882057936246492
outdoor_storage,4018.03,0.0,0.0
paper_towel_holder,3987.24,70.7,1.7731563688165248
racks,223508.49000000002,9535.849999999999,4.266437485215885
sink_sets,3615.0700000000006,199.9,5.52963013164337
space_saver_bag,150432.57,5273.16,3.5053313255234553
spice_jars,33161.979999999996,1571.4499999999998,4.738709811657809
storage_basket,30335.559999999998,653.49,2.1542045045484572
storage_bottles,17942.71,526.02,2.931664168902022
storage_box,227318.87,6252.75,2.750651540718991
storage_set,33269.229999999996,1081.85,3.2518035433943013
under_bed_storage,8638.01,281.45,3.2582736069997598
