pst,impr,gv,atc,orders,gmv,asp,ctr,atcr,cvr,aov,loss_ctr,ord_per_atc,loss_atc,loss_cvr
aluminium_foil,120646.0,4995.0,2327.0,825.0,13931.55,14.244938650306748,0.041402118594897466,0.46586586586586587,0.16516516516516516,16.88672727272727,570.6464214238831,0.3545337344220026,0.0,0.0
bag,859415.0,49449.0,10742.6,3740.0,124536.89,30.05959208303162,0.05753797641418872,0.21724605148739107,0.0756334809601812,33.29863368983957,0.0,0.34814663116936306,0.0,0.0
biscuit_cookie_jar,233413.0,9709.0,1956.1,519.0,26811.3,41.82730109204368,0.041595798006109345,0.2014728602327737,0.0534555566999691,51.65953757225434,970.6736263403628,0.26532385869843056,0.0,0.0
bread_box,58723.0,3192.0,527.2,153.0,7174.47,45.12245283018868,0.05435689593515318,0.16516290726817043,0.047932330827067667,46.891960784313724,0.0,0.29021244309559935,139.7290267767792,0.0
cabinet_drawer_organization,1037208.0,38334.0,7534.200000000001,1949.0,115250.26999999999,52.24400271985493,0.03695883564338108,0.19654092972296136,0.05084259404184275,59.133027193432525,18875.77253450649,0.2586870537017865,0.0,0.0
cereal_dispenser,40486.0,2489.0,473.1,92.0,5527.69,51.66065420560747,0.06147804179222447,0.1900763358778626,0.03696263559662515,60.083586956521735,0.0,0.19446205876136122,0.0,1299.333406917616
cling_film,69187.0,2689.0,982.0999999999999,349.0,7012.459999999999,17.798121827411165,0.03886568285949673,0.3652287095574563,0.12978802528821123,20.093008595988536,754.7674665756506,0.3553609612055799,0.0,0.0
closet_clothes_hanger,1671987.0,50375.0,15616.400000000001,5973.0,291545.62,34.936563211503895,0.03012882277194739,0.31000297766749385,0.11857071960297767,48.81058429599866,123386.42309103471,0.38248251837811525,0.0,0.0
closet_organization_systems,457838.0,15732.0,3085.5,1102.0,49569.020000000004,37.130352059925094,0.034361499045513916,0.19612890922959572,0.07004830917874397,44.98096188747732,12406.443620598155,0.3571544320207422,0.0,0.0
closet_shelf_divider,89918.0,5871.0,674.0,152.0,10372.92,54.025625,0.06529282234925154,0.11480156702435701,0.025889967637540454,68.2428947368421,0.0,0.22551928783382788,4752.981952013245,7831.487961170068
clothes_rack,899902.0,45713.0,7010.499999999999,1777.0,149692.23,75.41170277078086,0.0507977535331625,0.1533590007218953,0.0388729683022335,84.23873382104671,0.0,0.25347692746594397,14438.458934039778,26243.401211478056
cooler,20339.0,1260.0,230.0,65.0,6105.56,80.33631578947369,0.06194994837504302,0.18253968253968253,0.051587301587301584,93.93169230769232,0.0,0.2826086956521739,0.0,0.0
countertop_wall_organization,113799.0,5172.0,861.0999999999999,178.0,8177.969999999999,43.269682539682535,0.045448554029473016,0.16649265274555297,0.03441608662026296,45.943651685393256,0.0,0.2067123446754152,93.9492476726529,2657.943321401033
cube_shelf,33790.0,2094.0,296.1,68.0,5395.08,63.471529411764706,0.061970997336490086,0.14140401146131806,0.03247373447946514,79.33941176470589,0.0,0.22965214454576155,1011.6723100020645,2174.7995740537526
dinnerware_stemware_storage,64500.0,3691.0,597.0,114.0,6635.719999999999,39.49833333333333,0.05722480620155039,0.16174478461121647,0.030885938769981035,58.20807017543859,0.0,0.19095477386934673,269.4848202829854,3146.9532269675674
egg_holder,48220.0,1477.0,311.0,96.0,3336.3600000000006,33.363600000000005,0.03063044379925342,0.2105619498984428,0.06499661475964794,34.753750000000004,1335.2927519939653,0.3086816720257235,0.0,0.0
flatware_utensil_storage,61711.0,3859.0,631.1,165.0,7441.64,42.04316384180791,0.06253342191829657,0.16353977714433793,0.04275719098211972,45.100848484848484,0.0,0.2614482649342418,218.7995117627954,523.1764892880582
foldable_wardrobe,530989.0,27972.0,2695.0,614.0,63347.99999999999,93.43362831858406,0.05267905738160301,0.09634634634634634,0.02195052195052195,103.17263843648207,0.0,0.22782931354359925,46486.32030444336,67559.8510551991
food_containers,4506665.0,144985.0,30381.899999999998,8206.0,381071.3300000001,38.601228727714755,0.03217123970829871,0.20955202262302997,0.05659895851294962,46.438134291981484,127311.98007228298,0.2700950236818632,0.0,0.0
food_saver,109616.0,5948.0,1212.0,440.0,17509.170000000002,33.03616981132076,0.054262151510728364,0.20376597175521183,0.07397444519166106,39.79356818181819,0.0,0.36303630363036304,0.0,0.0
food_wrap_dispenser,28828.0,2110.0,427.09999999999997,125.0,5225.110000000001,34.83406666666667,0.07319272929096711,0.2024170616113744,0.05924170616113744,41.80088000000001,0.0,0.2926715055022243,0.0,0.0
garage_storage,84085.0,4075.0,590.0,178.0,17298.26,72.07608333333333,0.04846286495807813,0.14478527607361963,0.043680981595092025,97.18123595505617,0.0,0.3016949152542373,2771.816274157185,831.6630736335998
hanging_closet_organizer,550972.0,21502.0,3138.1,921.0,52301.28999999999,47.633233151183966,0.03902557661732357,0.14594456329643754,0.04283322481629616,56.78750271444082,5396.1070824158905,0.29348969121442914,7906.610804187672,3579.4150170938865
kitchen_storage_accessories,97091.0,5153.0,1009.1,268.0,10333.22,33.768692810457516,0.05307392034277122,0.19582767320007763,0.05200853871531147,38.55679104477612,0.0,0.2655831929442077,0.0,0.0
lunch_bag,2157768.0,76363.0,14283.699999999999,3593.0,124226.04000000001,32.92500397561622,0.03538981021129241,0.18705001113104514,0.047051582572711914,34.57446145282494,26648.899652229,0.2515454679109755,0.0,0.0
lunch_box,7541052.0,271719.0,44145.399999999994,8234.0,469962.52,52.06764015067583,0.036031975379562424,0.16246710756332827,0.030303364873269813,57.07584649016274,90805.73512068085,0.1865199998187807,16951.91042239817,236021.88900809718
other_storage,95792.0,5695.0,1538.0,552.0,23500.11,27.011620689655174,0.0594517287456155,0.2700614574187884,0.09692712906057946,42.572663043478265,0.0,0.3589076723016905,0.0,0.0
paper_towel_holder,46100.0,1704.0,642.4000000000001,308.0,8405.99,25.550121580547113,0.036963123644251625,0.3769953051643193,0.1807511737089202,27.292175324675323,1375.6231225885463,0.47945205479452047,0.0,0.0
racks,3682929.0,218646.0,26425.5,6090.0,469103.26,71.32480766306827,0.05936742196224798,0.12085974589061771,0.027853242227161713,77.0284499178982,0.0,0.23045921553045354,181114.6509889228,296780.36385606806
sink_sets,71164.0,2917.0,690.0,218.0,7081.43,31.755291479820627,0.04098982631667697,0.23654439492629414,0.0747343160781625,32.48362385321101,362.8273571859031,0.3159420289855073,0.0,0.0
space_saver_bag,1729390.0,80283.0,14720.100000000002,5091.0,310742.65,54.2024507238793,0.046422727088742274,0.18335264003587312,0.06341317589028811,61.03764486348459,0.0,0.3458536287117614,0.0,0.0
spice_jars,640370.0,29689.0,5103.9,1324.0,67547.88,45.73316181448883,0.0463622593188313,0.17191215601738016,0.04459564148337768,51.01803625377644,0.0,0.25940947118869884,0.0,1822.351358774919
storage_basket,622081.0,50460.0,3835.6,1044.0,63603.41,52.91465058236273,0.08111483874286468,0.07601268331351566,0.020689655172413793,60.92280651340997,0.0,0.27218688080091774,75843.97195604045,75767.15874972107
storage_bottles,314798.0,16305.0,2986.3,907.0,41411.08,34.39458471760798,0.0517951194099073,0.18315240723704387,0.055627108249003375,45.65719955898567,0.0,0.3037203228074875,0.0,0.0
storage_box,3612427.0,188083.0,25691.0,7952.0,480705.36,46.14623788038783,0.05206555039036083,0.1365939505431113,0.04227920652052551,60.45087525150905,0.0,0.3095247362889728,109915.01650884413,39506.93880174871
storage_set,765138.0,24412.0,6171.900000000001,1649.0,59478.87999999999,31.33766069546891,0.0319053556351926,0.2528223824348681,0.06754874651810584,36.06966646452395,20522.949994348368,0.26717866459275097,0.0,0.0
travel_containers,37731.0,2345.0,733.0,256.0,5587.67,16.102795389048993,0.06215048633749437,0.31257995735607674,0.1091684434968017,21.8268359375,0.0,0.34924965893587995,0.0,0.0
under_bed_storage,86478.0,4481.0,818.0,318.0,15917.599999999999,43.02054054054054,0.05181664700848771,0.18254853827270698,0.07096630216469538,50.05534591194968,0.0,0.38875305623471884,0.0,0.0
