pst,gmv_aug26,gmv_aug25,share_aug26,share_aug25,yoy_growth_pct,abs_yoy_chg,gv_yoy_pct,cvr_aug26,cvr_aug25,cvr_yoy_pp,asp_aug26,asp_aug25,asp_yoy_pct,instock_aug26,n_skus_aug26,selling_pct_aug26,contribution_pct
storage_box,480705.36,235729.25,13.576441046186453,10.254245323488322,103.9226612734737,244976.11,138.62950087543456,4.227920652052551,5.505087670329113,-1.2771670182765613,46.14623788038783,40.43383361921098,14.127782972482642,88.3850355560136,2892.0,36.06500691562932,19.72612984636041
lunch_box,469962.52,358691.67,13.273033707585913,15.60312256400814,31.021308635352483,111270.85000000003,14.000478290238263,3.030336487326981,3.0174240294693915,0.012912457857589682,52.06764015067583,45.85091013677617,13.5585749450878,89.59025691031025,3068.0,41.329856584093875,8.959825654897099
racks,469103.26,364044.79000000004,13.24876584268558,15.835983805139959,28.858665989973364,105058.46999999997,44.466689131598244,2.7853242227161714,3.5560665226268116,-0.77074229991064,71.32480766306827,63.54421190434631,12.244381550335632,92.917576011241,3690.0,30.48780487804878,8.459588245890425
food_containers,381071.3300000001,266960.91000000003,10.76250209928357,11.612825573922994,42.74424296800608,114110.42000000004,9.431726407475338,5.659895851294962,4.465276362565949,1.1946194887290131,38.601228727714755,39.16680017605634,-1.4440072862713318,90.90977236950602,4555.0,30.93304061470911,9.188475405796602
space_saver_bag,310742.65,87921.77,8.776226810245575,3.824605554276,253.43083971125694,222820.88,181.90245444011376,6.341317589028811,7.261490923136346,-0.9201733341075352,54.2024507238793,37.84837279380112,43.209461128423165,91.47441310589427,1394.0,37.87661406025825,17.94213162810158
closet_clothes_hanger,291545.62,196284.46999999997,8.234049901594352,8.538393553497851,48.53218902137293,95261.15000000002,15.414576030425916,11.857071960297768,9.237748298852155,2.619323661445612,34.936563211503895,35.86414580668737,-2.5863786082715308,91.5108504398827,1922.0,36.21227887617066,7.670681905323816
clothes_rack,149692.23,100613.42000000001,4.227720147882652,4.376693564821363,48.77958626195193,49078.81,3.2175758670520227,3.88729683022335,4.344291907514451,-0.4569950772911009,75.41170277078086,47.63892992424243,58.29848170541182,95.25484217456082,935.0,35.401069518716575,3.9519566980014984
bag,124536.89,31979.89,3.5172641827010356,1.3911283282756421,289.4225089579733,92557.0,132.3185341789993,7.56334809601812,6.708949964763919,0.8543981312542013,30.05959208303162,18.87832939787485,59.22803045493769,93.42848302003559,1034.0,32.97872340425532,7.4529365340546105
lunch_bag,124226.04000000001,85450.75,3.508484924031636,3.717115943719626,45.37735479208785,38775.29000000001,14.719447156914296,4.705158257271192,4.377675955832645,0.32748230143854684,32.92500397561622,27.852265319426337,18.213020011164986,88.10517454460783,1222.0,46.48117839607202,3.122289783155919
cabinet_drawer_organization,115250.26999999999,119108.93,3.254984500718009,5.18125005037855,-3.2396059640532444,-3858.6600000000035,6.1383835866766345,5.084259404184275,5.022565550848631,0.06169385333564398,52.24400271985493,58.472719685812464,-10.652346939608552,89.46505772245712,885.0,34.80225988700565,-0.31070959610288995
